220.181.108.151 31/Jan/2012:00:02:32 "-"
211.140.5.122 31/Jan/2012:00:37:04 "googleads.g.doubleclick.net"
218.94.106.101 31/Jan/2012:00:37:31 "-"
218.94.106.101 31/Jan/2012:00:37:31 "-"
220.181.94.221 31/Jan/2012:00:42:37 "-"
117.136.19.198 31/Jan/2012:00:45:29 "googleads.g.doubleclick.net"
220.181.108.186 31/Jan/2012:00:45:56 "-"
208.115.111.66 31/Jan/2012:00:46:33 "-"
123.125.71.15 31/Jan/2012:00:50:53 "-"
220.181.94.221 31/Jan/2012:00:51:17 "-"
220.181.108.93 31/Jan/2012:00:51:35 "-"
203.208.60.227 31/Jan/2012:00:52:50 "-"
117.136.16.142 31/Jan/2012:00:52:49 "-"
72.14.199.186 31/Jan/2012:00:52:51 "-"
207.46.204.180 31/Jan/2012:00:52:56 "-"
211.141.86.10 31/Jan/2012:00:53:27 "-"
207.46.204.180 31/Jan/2012:00:53:28 "-"
72.14.199.185 31/Jan/2012:00:53:27 "-"
72.14.199.187 31/Jan/2012:00:53:30 "-"
72.14.199.186 31/Jan/2012:00:53:32 "-"
72.14.199.185 31/Jan/2012:00:53:34 "-"
72.14.199.186 31/Jan/2012:00:53:37 "-"
72.14.199.187 31/Jan/2012:00:53:39 "-"
72.14.199.185 31/Jan/2012:00:53:41 "-"
72.14.199.185 31/Jan/2012:00:53:45 "-"
72.14.199.186 31/Jan/2012:00:53:47 "-"
220.181.108.166 31/Jan/2012:00:56:31 "-"
120.197.26.43 31/Jan/2012:00:57:32 "-"
120.197.26.43 31/Jan/2012:00:57:33 "http://f.dataguru.cn/forum-58-1.html"
120.197.26.43 31/Jan/2012:00:57:34 "http://f.dataguru.cn/forum-58-1.html"
120.197.26.43 31/Jan/2012:00:57:34 "http://f.dataguru.cn/forum-58-1.html"
120.197.26.43 31/Jan/2012:00:57:34 "http://f.dataguru.cn/forum-58-1.html"
120.197.26.43 31/Jan/2012:00:57:35 "http://f.dataguru.cn/forum-58-1.html"
120.197.26.43 31/Jan/2012:00:57:35 "http://f.dataguru.cn/forum-58-1.html"
120.197.26.43 31/Jan/2012:00:57:35 "http://f.dataguru.cn/forum-58-1.html"
120.197.26.43 31/Jan/2012:00:57:36 "http://f.dataguru.cn/forum-58-1.html"
211.140.5.116 31/Jan/2012:00:59:40 "-"
220.181.94.221 31/Jan/2012:01:00:20 "-"
220.181.108.181 31/Jan/2012:01:01:26 "-"
117.136.2.98 31/Jan/2012:01:01:28 "-"
203.208.60.227 31/Jan/2012:01:04:57 "-"
208.115.113.82 31/Jan/2012:01:08:00 "-"
220.181.94.221 31/Jan/2012:01:08:20 "-"
117.136.14.41 31/Jan/2012:01:12:44 "-"
203.208.60.225 31/Jan/2012:01:13:42 "-"
116.48.155.51 31/Jan/2012:01:14:37 "-"
117.136.9.68 31/Jan/2012:01:14:41 "-"
117.136.9.68 31/Jan/2012:01:14:42 "http://f.dataguru.cn/forum-58-1.html"
117.136.9.68 31/Jan/2012:01:14:42 "http://f.dataguru.cn/forum-58-1.html"
117.136.9.68 31/Jan/2012:01:14:43 "http://f.dataguru.cn/forum-58-1.html"
117.136.9.68 31/Jan/2012:01:14:42 "http://f.dataguru.cn/forum-58-1.html"
117.136.9.68 31/Jan/2012:01:14:44 "http://f.dataguru.cn/forum-58-1.html"
117.136.9.68 31/Jan/2012:01:14:43 "http://f.dataguru.cn/forum-58-1.html"
220.181.108.155 31/Jan/2012:01:14:54 "-"
123.150.182.147 31/Jan/2012:01:15:22 "http://f.dataguru.cn/forum-58-1.html"
123.150.182.147 31/Jan/2012:01:15:22 "-"
123.150.182.147 31/Jan/2012:01:15:22 "http://f.dataguru.cn/forum-58-1.html"
123.150.182.147 31/Jan/2012:01:15:22 "http://f.dataguru.cn/forum-58-1.html"
123.150.182.147 31/Jan/2012:01:15:22 "http://f.dataguru.cn/forum-58-1.html"
123.150.182.147 31/Jan/2012:01:15:22 "http://f.dataguru.cn/forum-58-1.html"
123.150.182.147 31/Jan/2012:01:15:22 "http://f.dataguru.cn/forum-58-1.html"
123.150.182.147 31/Jan/2012:01:15:22 "http://f.dataguru.cn/forum-58-1.html"
123.150.182.147 31/Jan/2012:01:15:22 "http://f.dataguru.cn/forum-58-1.html"
123.150.182.147 31/Jan/2012:01:15:22 "http://f.dataguru.cn/forum-58-1.html"
123.150.182.147 31/Jan/2012:01:15:22 "http://f.dataguru.cn/forum-58-1.html"
123.150.182.147 31/Jan/2012:01:15:22 "http://f.dataguru.cn/forum-58-1.html"
123.150.182.147 31/Jan/2012:01:15:22 "http://f.dataguru.cn/forum-58-1.html"
123.150.182.147 31/Jan/2012:01:15:22 "http://f.dataguru.cn/forum-58-1.html"
123.150.182.147 31/Jan/2012:01:15:22 "http://f.dataguru.cn/forum-58-1.html"
123.150.182.147 31/Jan/2012:01:15:22 "http://f.dataguru.cn/forum-58-1.html"
123.150.182.147 31/Jan/2012:01:15:22 "http://f.dataguru.cn/forum-58-1.html"
123.150.182.147 31/Jan/2012:01:15:22 "http://f.dataguru.cn/forum-58-1.html"
